"uSeed","l2.dist","Model","N","phi","T","sim.Seed","Rep","sim.Path","sim.File"
53286,"Gaussian","BinAR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53286_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
53293,"Chi2","BinAR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53293_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
53297,"Gaussian","Chi2AR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53297_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
53304,"Chi2","Chi2AR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53304_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
53308,"Gaussian","DAR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
53315,"Chi2","DAR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
53319,"Gaussian","PoDAR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53319_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
53326,"Chi2","PoDAR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53326_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
53330,"Gaussian","NAR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53330_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
53337,"Chi2","NAR",100,0.4,100,0,5,"simulation-files/sim-files","sim_uSeed-53337_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-5.rds"
61956,"Gaussian","BinAR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-61956_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
61963,"Chi2","BinAR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-61963_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
61967,"Gaussian","Chi2AR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-61967_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
61974,"Chi2","Chi2AR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-61974_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
61978,"Gaussian","DAR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-61978_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
61985,"Chi2","DAR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-61985_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
61989,"Gaussian","PoDAR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-61989_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
61996,"Chi2","PoDAR",100,0.4,30,0,6,"simulation-files/sim-files","sim_uSeed-61996_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-6.rds"
